season,brier_score,log_loss,auc
NFL_2009,0.2085402760891089,0.6013685188473779,0.7302376454210998
NFL_2010,0.19714093826415097,0.5785206404296089,0.7583255705635772
NFL_2011,0.21970465694339622,0.6299220393978345,0.699119373776908
NFL_2012,0.2035849424719101,0.5927307847529454,0.7444833927134813
NFL_2013,0.21095806617977528,0.6080596325837542,0.7209382151029748
NFL_2014,0.20440224490636705,0.5960645086212613,0.7205625436757511
NFL_2015,0.20720691685393258,0.6003241347303624,0.7307934869854376
NFL_2016,0.22770716756554304,0.6467216994305947,0.6677218767665347
NFL_2017,0.21631548752808988,0.6203459368140011,0.6892281105990783
NFL_2018,0.2033095210861423,0.5934771436985743,0.740703661327231
NFL_2019,0.21229766962546814,0.6137347740200231,0.7040703751016142
NFL_2020,0.21408581602996254,0.6160415000964902,0.7188624100719424
NFL_2021,0.20230977918215612,0.5908625059468021,0.7584024322830293
NFL_2022,0.2185547274736842,0.6248486075708659,0.7178103125308094
NFL_2023,0.20901471711267605,0.6043210405266255,0.7298639112903225
NFL_2024,0.21790011221052633,0.6252308769367675,0.6927719895812463
