season,moneyline_brier_score,baseline_brier_score
NBA_2009,0.18933207163097202,0.23811633398535242
NBA_2010,0.19823166296183203,0.24059264336686487
NBA_2011,0.1966823315916149,0.23930676994604785
NBA_2012,0.19895573202979516,0.24146639417705146
NBA_2013,0.19815270127853882,0.23816188176116326
NBA_2014,0.20316544299469294,0.24372809631457654
NBA_2015,0.1964696764454615,0.2442706540489526
NBA_2016,0.19431907132218848,0.24128474124586233
NBA_2017,0.20997066181054239,0.2431316824704845
NBA_2018,0.2040595658572537,0.24241663065865632
NBA_2019,0.2044694143816794,0.24196058559739017
NBA_2020,0.21178459258503401,0.249431394402442
NBA_2021,0.21588413740392828,0.24905283666339198
NBA_2022,0.20978831817700455,0.24887141243742392
NBA_2023,0.21776220928787882,0.2434293334881539
NBA_2024,0.19952676590288315,0.24897145464808337
