season,moneyline_brier_score,baseline_brier_score,fivethirtyeight_elo_brier_score
NFL_2009,0.2085402760891089,0.24647616087000407,0.21508309005540113
NFL_2010,0.19714093826415097,0.24472669984537024,0.20440920772850965
NFL_2011,0.21970465694339622,0.24752030559221633,0.23244937028516072
NFL_2012,0.2035849424719101,0.24433259566385507,0.2131167165567179
NFL_2013,0.21095806617977528,0.2452568222842224,0.22152396661919924
NFL_2014,0.20440224490636705,0.24202202911293683,0.2166428606040723
NFL_2015,0.20720691685393258,0.24479470897403874,0.20729857093918314
NFL_2016,0.22770716756554304,0.24849161545550807,0.22538657304365753
NFL_2017,0.21631548752808988,0.24387048235367145,0.21881298067098534
NFL_2018,0.2033095210861423,0.2452568222842224,0.2172977363425003
NFL_2019,0.21229766962546814,0.2424841424231205,0.2217902667555906
NFL_2020,0.21408581602996254,0.25126429531660993,0.22460332584672443
NFL_2021,0.20230977918215612,0.25403525728436555,0.2201884653382215
