team,win_rate
NE,0.675
PIT,0.6282527881040892
GB,0.6187050359712231
BAL,0.6101083032490975
NO,0.6059479553903345
KC,0.6007194244604317
SEA,0.5672727272727273
DAL,0.5601503759398496
PHI,0.5571955719557196
IND,0.5447761194029851
MIN,0.5378787878787878
SF,0.5345454545454545
ATL,0.5151515151515151
BUF,0.5018867924528302
DEN,0.5018867924528302
CIN,0.4943820224719101
LAC,0.49236641221374045
MIA,0.4864864864864865
TEN,0.4752851711026616
HOU,0.4664179104477612
ARI,0.46387832699619774
LAR,0.45660377358490567
CAR,0.44866920152091255
CHI,0.444015444015444
NYG,0.4431818181818182
TB,0.4356060606060606
NYJ,0.41379310344827586
DET,0.4083969465648855
LV,0.4046692607003891
WSH,0.38372093023255816
CLE,0.33852140077821014
JAX,0.33076923076923076
