season,brier_score,log_loss,brier_skill_loss_50_50,brier_skill_loss_home_prob_grouped,brier_skill_loss_home_prob_overall
NHL_2009,0.2378,0.6683,0.0488,0.0324,0.0414
NHL_2010,0.2415,0.676,0.034,0.0177,0.0266
NHL_2011,0.2432,0.6793,0.0271,0.0314,0.0196
NHL_2012,0.2431,0.679,0.0278,0.0188,0.0203
NHL_2013,0.2369,0.6664,0.0525,0.0308,0.0451
NHL_2014,0.2417,0.6762,0.0334,0.0273,0.0259
NHL_2015,0.2377,0.6677,0.0493,0.0416,0.042
NHL_2016,0.2413,0.6757,0.0348,0.0309,0.0273
NHL_2017,0.237,0.6668,0.0518,0.0383,0.0445
NHL_2018,0.2376,0.6679,0.0497,0.0371,0.0424
NHL_2019,0.2405,0.6739,0.0379,0.0328,0.0305
NHL_2020,0.243,0.6788,0.0278,0.0259,0.0203
NHL_2021,0.23,0.6521,0.0799,0.075,0.0728
NHL_2022,0.2244,0.6405,0.1025,0.0961,0.0955
NHL_2023,0.2316,0.6551,0.0736,0.0735,0.0664
NHL_2024,0.2308,0.653,0.0769,0.0727,0.0698
