Prediction_Method,Log_Loss
nfl_full_elopoint,1.2597317351975934
nfl_full_elowin,1.435633806903014
nfl_full_keener,1.2667007564031334
nfl_full_massey,1.267791120284916
nfl_full_od,1.4732099163609085
nfl_half_elopoint,1.1757295717636653
nfl_half_elowin,1.1091290163485388
nfl_half_keener,1.1683332605981722
nfl_half_massey,1.0805593595898466
nfl_half_od,1.1545695821239863
nhl_full_elopoint,1.5211755194983025
nhl_full_elowin,1.5413659602152727
nhl_full_keener,1.4886833141602334
nhl_full_massey,1.4768274431518884
nhl_full_od,1.5932521428306716
nhl_half_elopoint,1.4252900872973018
nhl_half_elowin,1.4754208851622581
nhl_half_keener,1.4270294805147063
nhl_half_massey,1.372520316804254
nhl_half_od,1.427292819379333
mlb_full_elopoint,1.6852183038679693
mlb_full_elowin,1.7401813427628707
mlb_full_keener,1.6747174854623417
mlb_full_massey,1.6151956266695542
mlb_full_od,1.6940017295720498
mlb_half_elopoint,1.6233235451015997
mlb_half_elowin,1.6388014638627628
mlb_half_keener,1.5849841392167734
mlb_half_massey,1.548745978324112
mlb_half_od,1.586045277519747
nba_full_elopoint,1.1864481869193455
nba_full_elowin,1.282850475414301
nba_full_keener,1.2183490095824387
nba_full_massey,1.1789185254984695
nba_full_od,1.2021800624300643
nba_half_elopoint,1.0867381538429475
nba_half_elowin,1.195863606710178
nba_half_keener,1.1612871378166254
nba_half_massey,1.1090606755104988
nba_half_od,1.1133277554510153
