season,brier_score
MLB_2006,0.2380331535714286
MLB_2007,0.24426702091456076
MLB_2008,0.2421005056277245
MLB_2009,0.24141997805908905
MLB_2010,0.24132953808919802
MLB_2011,0.24198023636955637
MLB_2012,0.24227472945638945
MLB_2013,0.2411219689046653
MLB_2014,0.2423711749776332
MLB_2015,0.24201143896341465
MLB_2016,0.2403563932019504
MLB_2017,0.24067094959854013
MLB_2018,0.23814530956486377
MLB_2019,0.2355695877718941
MLB_2020,0.23895615312026
MLB_2021,0.23900900876628664
MLB_2022,0.23640593887312525
MLB_2023,0.2421384036662607
