season,log_loss
MLB_2006,0.6687723209769567
MLB_2007,0.6815805876571283
MLB_2008,0.6771242904165512
MLB_2009,0.6757033999440983
MLB_2010,0.6756118125791063
MLB_2011,0.6769402348936072
MLB_2012,0.6774220751887644
MLB_2013,0.6751793294086417
MLB_2014,0.6775864593834352
MLB_2015,0.6769007138366213
MLB_2016,0.673532044387862
MLB_2017,0.6740653484731032
MLB_2018,0.6688415154642586
MLB_2019,0.6634744480283209
MLB_2020,0.6708889293568896
MLB_2021,0.6707304470285954
MLB_2022,0.6655557333529528
MLB_2023,0.6770855077994141
